Satellite ID,Time,Position ECI,Velocity ECI,Position ECEF,Velocity ECEF
66,2024-05-01 12:00:00,[ 5477557.51019312 -3835427.05961443  2990055.75918182],[-0.0804652  -0.05634234  0.20200183],[4766183.94131066 4690162.85907942 2990055.75918182],[ 0.04079672 -0.08935734  0.20200183]
67,2024-05-01 12:00:00,[4215821.77308491 -368836.61259069 5795561.88032085],[-0.18967235 -0.01659418  0.12784122],[1128128.35361652 4078789.04663757 5795561.88032085],[-0.0181184  -0.18953283  0.12784122]
68,2024-05-01 12:00:00,[ 582798.51289179  271763.40972279 7048151.87594332],[-0.20985302  0.09785607  0.01942565],[-161434.18744738  622453.5810936  7048151.87594332],[-0.13433048 -0.18859858  0.01942565]
69,2024-05-01 12:00:00,[-1788489.01019312 -2554227.01498748  6412195.26827487],[-0.12082653  0.17255817 -0.094195  ],[ 2187058.85918288 -2222508.07200853  6412195.26827487],[-0.19162743 -0.08748885 -0.094195  ]
70,2024-05-01 12:00:00,[ -526753.27308491 -6020817.46201122  4058096.11676151],[-0.01161937  0.13281001 -0.18257618],[ 5825114.44687702 -1611134.25956669  4058096.11676151],[-0.13271231  0.01268664 -0.18257618]
71,2024-05-01 12:00:00,[ 3106269.9871082  -6661417.4843247    616633.38795402],[ 0.0085613   0.01835976 -0.22203622],[7114676.98794091 1845201.20597728  616633.38795402],[-0.01650024  0.01175239 -0.22203622]
12,2024-05-01 12:00:10,[3106269.98710821 6661417.48432469  541105.4010593 ],[-0.0085613   0.01835976  0.19484024],[-5168436.94309215  5225959.78730761   541105.4010593 ],[-0.02019013 -0.00165387  0.19484024]
13,2024-05-01 12:00:10,[-526753.27308491 6020817.46201122 3561042.54114954],[0.01161937 0.13281001 0.16021344],[-5829132.08749653  1596537.19909158  3561042.54114954],[-0.12051288  0.05701012  0.16021344]
14,2024-05-01 12:00:10,[-1788489.01019312  2554227.01498748  5626801.20812589],[0.12082653 0.17255817 0.08265758],[-3016307.49723457  -790352.87422765  5626801.20812589],[-0.11986975  0.17322417  0.08265758]
15,2024-05-01 12:00:10,[ 582798.51289179 -271763.40972279 6184863.03541444],[ 0.20985302  0.09785607 -0.01704631],[ 457212.23743176  452179.64066914 6184863.03541444],[-0.01890387  0.23077423 -0.01704631]
16,2024-05-01 12:00:10,[4215821.7730849   368836.61259069 5085695.80706659],[ 0.18967235 -0.01659418 -0.11218266],[1117907.38183614 4081602.22888517 5085695.80706659],[ 0.08141889  0.17211024 -0.11218266]
17,2024-05-01 12:00:10,[5477557.51019312 3835427.05961442 2623820.4942649 ],[ 0.0804652  -0.05634234 -0.17725976],[-1694917.20842581  6468492.3022044   2623820.4942649 ],[ 0.08077576  0.05589618 -0.17725976]
24,2024-05-01 12:00:10,[-4670524.67471026  5566114.56038586  1164991.90382824],[0.02594377 0.03091858 0.20813864],[-6841498.32988063 -2447311.30808024  1164991.90382824],[-0.01998693  0.03506508  0.20813864]
25,2024-05-01 12:00:10,[-5311124.69702374  1933091.30019274  4312411.2860099 ],[0.14039402 0.05109924 0.16190312],[-3656927.7540041  -4309497.29367718  4312411.2860099 ],[0.00082679 0.14940191 0.16190312]
26,2024-05-01 12:00:10,[-2485134.27231348  -438196.22289216  6304323.54667435],[ 0.21509611 -0.03792725  0.07228579],[ -451942.09596752 -2482671.26762213  6304323.54667435],[0.11025224 0.18854511 0.07228579]
27,2024-05-01 12:00:10,[ 981456.17471026  823539.51421605 6606997.4041829 ],[ 0.17534796 -0.14713441 -0.03670046],[-431527.01380747 1206340.74402986 6606997.4041829 ],[ 0.19886398  0.11335149 -0.03670046]
28,2024-05-01 12:00:10,[1622056.19702374 4456562.77440916 5139331.64284612],[ 0.06089771 -0.16731508 -0.13585285],[-3616097.58968401  3068526.7296268   5139331.64284612],[ 0.17805026 -0.00098533 -0.13585285]
29,2024-05-01 12:00:10,[-1203934.22768652  6827850.29749407  2294586.118173  ],[-0.01380439 -0.07828858 -0.19860358],[-6821083.24772059  1241700.70357175  2294586.118173  ],[ 0.06862481 -0.04012854 -0.19860358]
36,2024-05-01 12:00:10,[-6883895.53730095 -1844534.25         269483.10226546],[ 0.05810792 -0.01556997  0.0316831 ],[ -660415.03698866 -7096067.66785762   269483.10226546],[0.03477724 0.04908663 0.0316831 ]
37,2024-05-01 12:00:10,[-3689068.5       -3689068.5         736241.5271705],[ 0.11621583 -0.11621583  0.02319364],[ 2178654.67699971 -4740455.31502743   736241.5271705 ],[0.14933742 0.06863363 0.02319364]
38,2024-05-01 12:00:10,[ -494241.46269905 -1844534.25        1005724.62943596],[ 0.05810792 -0.21686169  0.00848946],[ 1558169.39497452 -1103942.64318338  1005724.62943596],[ 0.2235457  -0.02080489  0.00848946]
39,2024-05-01 12:00:10,[-494241.46269905 1844534.25       1005724.62943596],[-0.05810792 -0.21686169 -0.00848946],[-1901385.60103905   176957.67583048  1005724.62943596],[ 0.18319381 -0.12979042 -0.00848946]
40,2024-05-01 12:00:10,[-3689068.5        3689068.5         736241.5271705],[-0.11621583 -0.11621583 -0.02319364],[-4740455.31502743 -2178654.67699971   736241.5271705 ],[ 0.06863363 -0.14933742 -0.02319364]
41,2024-05-01 12:00:10,[-6883895.53730095  1844534.25         269483.10226546],[-0.05810792 -0.01556997 -0.0316831 ],[-4119970.03300223 -5815167.34884377   269483.10226546],[-0.00557465 -0.05989889 -0.0316831 ]
54,2024-05-01 12:00:10,[-1203934.22768652 -6827850.29749407  1909769.50852536],[ 0.01380439 -0.07828858  0.1652965 ],[ 5985034.94104622 -3499764.85839275  1909769.50852536],[ 0.07821099 -0.01423742  0.1652965 ]
55,2024-05-01 12:00:10,[ 1622056.19702374 -4456562.77440917  4277433.21027408],[-0.06089771 -0.16731508  0.11306947],[4742502.42614943  -26245.12372642 4277433.21027408],[ 0.13576105 -0.11520331  0.11306947]
56,2024-05-01 12:00:10,[ 981456.17471027 -823539.51421605 5498962.13765179],[-0.17534796 -0.14713441  0.03054556],[1113079.83793341  634450.02067796 5498962.13765179],[ 0.07709706 -0.21552607  0.03054556]
57,2024-05-01 12:00:10,[-2485134.27231347   438196.22289216  5247048.60103639],[-0.21509611 -0.03792725 -0.06016301],[-1273810.23538583 -2178374.569584    5247048.60103639],[-0.039117   -0.21488293 -0.06016301]
58,2024-05-01 12:00:10,[-5311124.69702374 -1933091.30019274  3589192.62912643],[-0.14039402  0.05109924 -0.13475094],[  -31277.72048904 -5651894.30425033  3589192.62912643],[-0.09666705 -0.11391705 -0.13475094]
59,2024-05-01 12:00:10,[-4670524.67471027 -5566114.56038585   969615.39076231],[-0.02594377  0.03091858 -0.17323247],[ 3598144.86772698 -6312589.44865472   969615.39076231],[-0.03800306 -0.01359429 -0.17323247]
66,2024-05-01 12:00:10,[ 5477557.51019312 -3835427.05961443  2990055.75918182],[-0.0804652  -0.05634234  0.20200183],[5498698.65744099 3805055.85790173 2990055.75918182],[ 0.0248983  -0.095022    0.20200183]
67,2024-05-01 12:00:10,[4215821.77308491 -368836.61259069 5795561.88032085],[-0.18967235 -0.01659418  0.12784122],[1809686.645789   3825470.94006177 5795561.88032085],[-0.05029532 -0.18363374  0.12784122]
68,2024-05-01 12:00:10,[ 582798.51289179  271763.40972279 7048151.87594332],[-0.20985302  0.09785607  0.01942565],[ -52499.33980794  640900.36418524 7048151.87594332],[-0.16463215 -0.16282002  0.01942565]
69,2024-05-01 12:00:10,[-1788489.01019312 -2554227.01498748  6412195.26827487],[-0.12082653  0.17255817 -0.094195  ],[ 1774326.68624712 -2564085.29385134  6412195.26827487],[-0.20377535 -0.05339457 -0.094195  ]
70,2024-05-01 12:00:10,[ -526753.27308491 -6020817.46201122  4058096.11676151],[-0.01161937  0.13281001 -0.18257618],[ 5463338.6978991  -2584500.37601139  4058096.11676151],[-0.12858173  0.03521717 -0.18257618]
71,2024-05-01 12:00:10,[ 3106269.9871082  -6661417.4843247    616633.38795402],[ 0.0085613   0.01835976 -0.22203622],[7325524.68349604  600070.19986514  616633.38795402],[-0.01424491  0.01440345 -0.22203622]
12,2024-05-01 12:00:20,[3106269.98710821 6661417.48432469  541105.4010593 ],[-0.0085613   0.01835976  0.19484024],[-4197565.7122331   6033559.33299417   541105.4010593 ],[-0.02017523  0.0018267   0.19484024]
13,2024-05-01 12:00:20,[-526753.27308491 6020817.46201122 3561042.54114954],[0.01161937 0.13281001 0.16021344],[-5469795.77139953  2570806.51561814  3561042.54114954],[-0.10897504  0.07679811  0.16021344]
14,2024-05-01 12:00:20,[-1788489.01019312  2554227.01498748  5626801.20812589],[0.12082653 0.17255817 0.08265758],[-3107078.89410897  -262353.44376619  5626801.20812589],[-0.0884478   0.19118671  0.08265758]
15,2024-05-01 12:00:20,[ 582798.51289179 -271763.40972279 6184863.03541444],[ 0.20985302  0.09785607 -0.01704631],[ 527868.04234802  367239.41422552 6184863.03541444],[ 0.02087925  0.2306039  -0.01704631]
16,2024-05-01 12:00:20,[4215821.7730849   368836.61259069 5085695.80706659],[ 0.18967235 -0.01659418 -0.11218266],[1800098.10151446 3829992.23160154 5085695.80706659],[ 0.10967906  0.15563249 -0.11218266]
17,2024-05-01 12:00:20,[5477557.51019312 3835427.05961442 2623820.4942649 ],[ 0.0804652  -0.05634234 -0.17725976],[-562618.7757761  6663152.19098587 2623820.4942649 ],[ 0.08915183  0.04124389 -0.17725976]
24,2024-05-01 12:00:20,[-4670524.67471026  5566114.56038586  1164991.90382824],[0.02594377 0.03091858 0.20813864],[-7159447.84962164 -1240055.85558268  1164991.90382824],[-0.01368945  0.03796889  0.20813864]
25,2024-05-01 12:00:20,[-5311124.69702374  1933091.30019274  4312411.2860099 ],[0.14039402 0.05109924 0.16190312],[-4340652.8867071  -3619892.26902372  4312411.2860099 ],[0.02638931 0.14705515 0.16190312]
26,2024-05-01 12:00:20,[-2485134.27231348  -438196.22289216  6304323.54667435],[ 0.21509611 -0.03792725  0.07228579],[ -870256.61435866 -2368662.42980062  6304323.54667435],[0.14090016 0.16688906 0.07228579]
27,2024-05-01 12:00:20,[ 981456.17471026  823539.51421605 6606997.4041829 ],[ 0.17534796 -0.14713441 -0.03670046],[-218655.30492475 1262403.8228635  6606997.4041829 ],[ 0.21533226  0.07763671 -0.03670046]
28,2024-05-01 12:00:20,[1622056.19702374 4456562.77440916 5139331.64284612],[ 0.06089771 -0.16731508 -0.13585285],[-3037450.26783928  3642240.23630453  5139331.64284612],[ 0.1752535  -0.03144955 -0.13585285]
29,2024-05-01 12:00:20,[-1203934.22768652  6827850.29749407  2294586.118173  ],[-0.01380439 -0.07828858 -0.19860358],[-6507846.54018774  2391010.39708144  2294586.118173  ],[ 0.06074265 -0.05128346 -0.19860358]
36,2024-05-01 12:00:20,[-6883895.53730095 -1844534.25         269483.10226546],[ 0.05810792 -0.01556997  0.0316831 ],[-1865376.72597106 -6878276.96724263   269483.10226546],[0.0426666  0.04240891 0.0316831 ]
37,2024-05-01 12:00:20,[-3689068.5       -3689068.5         736241.5271705],[ 0.11621583 -0.11621583  0.02319364],[ 1335022.64763878 -5043428.1323001    736241.5271705 ],[0.1588819  0.0420569  0.02319364]
38,2024-05-01 12:00:20,[ -494241.46269905 -1844534.25        1005724.62943596],[ 0.05810792 -0.21686169  0.00848946],[ 1346196.63127918 -1354376.5550269   1005724.62943596],[ 0.21668469 -0.05876451  0.00848946]
39,2024-05-01 12:00:20,[-494241.46269905 1844534.25       1005724.62943596],[-0.05810792 -0.21686169 -0.00848946],[-1843028.75869025   499826.18730376  1005724.62943596],[ 0.15827219 -0.15923391 -0.00848946]
40,2024-05-01 12:00:20,[-3689068.5        3689068.5         736241.5271705],[-0.11621583 -0.11621583 -0.02319364],[-5043428.1323001  -1335022.64763878   736241.5271705 ],[ 0.0420569  -0.1588819  -0.02319364]
41,2024-05-01 12:00:20,[-6883895.53730095  1844534.25         269483.10226546],[-0.05810792 -0.01556997 -0.0316831 ],[-5054602.1159405  -5024074.22491197   269483.10226546],[-0.0157459  -0.05806049 -0.0316831 ]
54,2024-05-01 12:00:20,[-1203934.22768652 -6827850.29749407  1909769.50852536],[ 0.01380439 -0.07828858  0.1652965 ],[ 5297601.65231856 -4472629.43277628  1909769.50852536],[ 0.0746194  -0.02741548  0.1652965 ]
55,2024-05-01 12:00:20,[ 1622056.19702374 -4456562.77440917  4277433.21027408],[-0.06089771 -0.16731508  0.11306947],[4668008.79432686 -837682.49631928 4277433.21027408],[ 0.11403659 -0.13674254  0.11306947]
56,2024-05-01 12:00:20,[ 981456.17471027 -823539.51421605 5498962.13765179],[-0.17534796 -0.14713441  0.03054556],[1205255.97695084  434547.56284715 5498962.13765179],[ 0.03906518 -0.22554235  0.03054556]
57,2024-05-01 12:00:20,[-2485134.27231347   438196.22289216  5247048.60103639],[-0.21509611 -0.03792725 -0.06016301],[-1627903.98243349 -1928169.31444341  5247048.60103639],[-0.07532342 -0.20501511 -0.06016301]
58,2024-05-01 12:00:20,[-5311124.69702374 -1933091.30019274  3589192.62912643],[-0.14039402  0.05109924 -0.13475094],[ -998311.12444179 -5563116.2509004   3589192.62912643],[-0.11474061 -0.09568806 -0.13475094]
59,2024-05-01 12:00:20,[-4670524.67471027 -5566114.56038585   969615.39076231],[-0.02594377  0.03091858 -0.17323247],[ 2464441.69293423 -6835346.31006684   969615.39076231],[-0.0397692  -0.00688825 -0.17323247]
66,2024-05-01 12:00:20,[ 5477557.51019312 -3835427.05961443  2990055.75918182],[-0.0804652  -0.05634234  0.20200183],[6068887.99071423 2807620.97927414 2990055.75918182],[ 0.00826486 -0.09788155  0.20200183]
67,2024-05-01 12:00:20,[4215821.77308491 -368836.61259069 5795561.88032085],[-0.18967235 -0.01659418  0.12784122],[2437821.73805011 3459222.28870804 5795561.88032085],[-0.0809875  -0.17231365  0.12784122]
68,2024-05-01 12:00:20,[ 582798.51289179  271763.40972279 7048151.87594332],[-0.20985302  0.09785607  0.01942565],[  57985.32460907  640427.3257935  7048151.87594332],[-0.19007376 -0.1322349   0.01942565]
69,2024-05-01 12:00:20,[-1788489.01019312 -2554227.01498748  6412195.26827487],[-0.12082653  0.17255817 -0.094195  ],[ 1309215.16383217 -2829968.94655495  6412195.26827487],[-0.20990767 -0.01772404 -0.094195  ]
70,2024-05-01 12:00:20,[ -526753.27308491 -6020817.46201122  4058096.11676151],[-0.01161937  0.13281001 -0.18257618],[ 4940281.41649629 -3481570.25598885  4058096.11676151],[-0.12065532  0.05670805 -0.18257618]
71,2024-05-01 12:00:20,[ 3106269.9871082  -6661417.4843247    616633.38795402],[ 0.0085613   0.01835976 -0.22203622],[7320117.82993732 -662775.29307432  616633.38795402],[-0.01156905  0.0166293  -0.22203622]
12,2024-05-01 12:00:30,[3106269.98710821 6661417.48432469  541105.4010593 ],[-0.0085613   0.01835976  0.19484024],[-3102779.44187939  6663044.03920059   541105.4010593 ],[-0.01956474  0.00525334  0.19484024]
13,2024-05-01 12:00:30,[-526753.27308491 6020817.46201122 3561042.54114954],[0.01161937 0.13281001 0.16021344],[-4948987.30560741  3469183.84789587  3561042.54114954],[-0.09422018  0.09431896  0.16021344]
14,2024-05-01 12:00:30,[-1788489.01019312  2554227.01498748  5626801.20812589],[0.12082653 0.17255817 0.08265758],[-3106127.1756657    273390.84158844  5626801.20812589],[-0.05441481  0.20350528  0.08265758]
15,2024-05-01 12:00:30,[ 582798.51289179 -271763.40972279 6184863.03541444],[ 0.20985302  0.09785607 -0.01704631],[ 582940.81800403  271458.02658574 6184863.03541444],[ 0.060046    0.22362598 -0.01704631]
16,2024-05-01 12:00:30,[4215821.7730849   368836.61259069 5085695.80706659],[ 0.18967235 -0.01659418 -0.11218266],[2429148.68173205 3465318.21789047 5085695.80706659],[ 0.13470144  0.13456036 -0.11218266]
17,2024-05-01 12:00:30,[5477557.51019312 3835427.05961442 2623820.4942649 ],[ 0.0804652  -0.05634234 -0.17725976],[ 586288.55179034 6661111.22419789 2623820.4942649 ],[ 0.09489607  0.02537404 -0.17725976]
24,2024-05-01 12:00:30,[-4670524.67471026  5566114.56038586  1164991.90382824],[0.02594377 0.03091858 0.20813864],[-7.26604552e+06  3.80690240e+03  1.16499190e+06],[-0.00698785  0.03975182  0.20813864]
25,2024-05-01 12:00:30,[-5311124.69702374  1933091.30019274  4312411.2860099 ],[0.14039402 0.05109924 0.16190312],[-4896238.9476806  -2823425.52397473  4312411.2860099 ],[0.05117279 0.14036723 0.16190312]
26,2024-05-01 12:00:30,[-2485134.27231348  -438196.22289216  6304323.54667435],[ 0.21509611 -0.03792725  0.07228579],[-1262880.55632247 -2184729.04078438  6304323.54667435],[0.16738861 0.14030634 0.07228579]
27,2024-05-01 12:00:30,[ 981456.17471026  823539.51421605 6606997.4041829 ],[ 0.17534796 -0.14713441 -0.03670046],[6.71259606e+02 1.28119987e+06 6.60699740e+06],[ 0.22544379  0.03963004 -0.03670046]
28,2024-05-01 12:00:30,[1622056.19702374 4456562.77440916 5139331.64284612],[ 0.06089771 -0.16731508 -0.13585285],[-2369135.31582371  4108432.29515462  5139331.64284612],[ 0.16728315 -0.06098536 -0.13585285]
29,2024-05-01 12:00:30,[-1203934.22768652  6827850.29749407  2294586.118173  ],[-0.01380439 -0.07828858 -0.19860358],[-6002493.70718184  3469735.81196427  2294586.118173  ],[ 0.05106733 -0.06092447 -0.19860358]
36,2024-05-01 12:00:30,[-6883895.53730095 -1844534.25         269483.10226546],[ 0.05810792 -0.01556997  0.0316831 ],[-3015271.20540442 -6457434.77905538   269483.10226546],[0.04929641 0.03447924 0.0316831 ]
37,2024-05-01 12:00:30,[-3689068.5       -3689068.5         736241.5271705],[ 0.11621583 -0.11621583  0.02319364],[  451979.82748875 -5197515.4671177    736241.5271705 ],[0.16373607 0.01423861 0.02319364]
38,2024-05-01 12:00:30,[ -494241.46269905 -1844534.25        1005724.62943596],[ 0.05810792 -0.21686169  0.00848946],[ 1094483.21307869 -1564828.33536555  1005724.62943596],[ 0.203427   -0.09498936  0.00848946]
39,2024-05-01 12:00:30,[-494241.46269905 1844534.25       1005724.62943596],[-0.05810792 -0.21686169 -0.00848946],[-1730264.43422453   807939.48444893  1005724.62943596],[ 0.12867827 -0.1839767  -0.00848946]
40,2024-05-01 12:00:30,[-3689068.5        3689068.5         736241.5271705],[-0.11621583 -0.11621583 -0.02319364],[-5197515.4671177   -451979.82748874   736241.5271705 ],[ 0.01423861 -0.16373607 -0.02319364]
